iter	Accuracy	Logloss
179	0.6563178258	0.6145070727
180	0.6565537416	0.614393809
181	0.6566952911	0.6142853635
182	0.6568840238	0.6142039353
183	0.6572614891	0.6140423487
184	0.6570727564	0.6139185872
185	0.6570727564	0.6137463886
186	0.6574030386	0.6135640414
187	0.6579692366	0.6133316094
188	0.6578748702	0.613153125
189	0.6579692366	0.6130364253
190	0.6583938851	0.6128582311
191	0.6583938851	0.6127466101
192	0.6584882514	0.6126547927
193	0.6585354346	0.6125355182
194	0.6586769841	0.6124004934
195	0.6589128999	0.6122637965
196	0.6587713504	0.6120829382
197	0.659243182	0.6118761101
198	0.6599037463	0.6116316358
199	0.6597621968	0.6115569338
200	0.6600452958	0.611406779
201	0.6599509295	0.611264552
202	0.6599037463	0.6111270507
203	0.6603283948	0.6109862239
204	0.660375578	0.6108645791
205	0.6608474096	0.6107451489
206	0.6608474096	0.6105941065
207	0.6613664245	0.6104538826
208	0.6615551571	0.6103478923
209	0.6619326224	0.6101799468
210	0.6620741719	0.6100841764
211	0.6624044541	0.6099514187
212	0.6625460036	0.609785822
213	0.6624516373	0.6096499638
214	0.6628762857	0.6095360776
215	0.6631593847	0.6094440254
216	0.6635840332	0.6092358218
217	0.6635368501	0.6091708041
218	0.6630178352	0.6090299057
219	0.6633009342	0.6088901423
220	0.6635368501	0.6087284982
221	0.6635368501	0.6086207083
222	0.6638671322	0.6085028058
223	0.6638671322	0.6084223904
224	0.6640086817	0.6082958132
225	0.6639614985	0.608099629
226	0.6646220628	0.6079552438
227	0.6649051618	0.6078181959
228	0.664952345	0.6077595642
229	0.6647164292	0.6076787091
230	0.664669246	0.6075189171
231	0.664952345	0.6073932328
232	0.6654713598	0.607261431
233	0.6659903746	0.6071202755
234	0.6662734736	0.6069671384
235	0.6661319241	0.6068250606
236	0.66636784	0.6067360176
237	0.6665093894	0.606539037
238	0.6667453053	0.6063277684
239	0.6667453053	0.6062136077
240	0.6667924884	0.6060935172
241	0.6668396716	0.6059423677
242	0.6670284043	0.6058113063
243	0.6671227706	0.6056394412
244	0.6678305181	0.6054518056
245	0.6680192507	0.6053028899
246	0.6681608002	0.605141155
247	0.6684438992	0.6049955046
248	0.6683967161	0.6048527944
249	0.6688213645	0.6047227372
250	0.6691044635	0.6046302969
251	0.6688685477	0.6044644339
252	0.6688213645	0.6043078116
253	0.6693875625	0.6041962115
254	0.6697178447	0.6041313532
255	0.6697178447	0.6040117367
256	0.6703312258	0.6038233667
257	0.6707086911	0.6036897563
